Time,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWindDirection,HourlyWindSpeed,Sunrise,Sunset,BirdCount
971,66,0,,,50,FEW:02 50,29.72,10,360,0,548,1745,11
974,66,0,,,49.9375,FEW:02 50.3125,29.72125,10,355.55,0.4375,548,1745,12
977,66,0,,,49.875,FEW:02 50.625,29.7225,10,351.18,0.875,548,1745,15
980,66,0,,,49.8125,FEW:02 50.9325,29.72375,10,346.81,1.3125,548,1745,29
983,66,0,,,49.75,FEW:02 51.25,29.725,10,342.44,1.75,548,1745,36
986,66,0,,,49.6875,FEW:02 51.5625,29.72625,10,338.07,2.1875,548,1745,59
989,66,0,,,49.625,FEW:02 51.875,29.7275,10,333.7,2.625,548,1745,43
992,66,0,,,49.5625,FEW:02 52.1875,29.72875,10,329.33,3.0625,548,1745,24
995,66,0,,,49.5,FEW:02 52.5,29.73,10,324.96,3.5,548,1745,10
998,66,0,,,49.4375,FEW:02 52.8125,29.73125,10,320.59,3.9375,548,1745,9
1001,66,0,,,49.375,FEW:02 53.125,29.7325,10,316.22,4.375,548,1745,14
1004,66,0,,,49.3125,FEW:02 53.4375,29.73375,10,311.85,4.8125,548,1745,5
1007,66,0,,,49.25,FEW:02 53.75,29.735,10,307.48,5.25,548,1745,0
1010,66,0,,,49.1875,FEW:02 54.0625,29.73625,10,303.11,5.6875,548,1745,1
1013,66,0,,,49.125,FEW:02 54.375,29.7375,10,298.74,6.125,548,1745,0
1016,66,0,,,49.0625,FEW:02 54.6875,29.73875,10,294.37,6.5625,548,1745,0
1019,66,0,,,49,FEW:02 55,29.74,10,290,7,548,1745,0
